School,Year,Source,Target
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,59,Holmes
College of Arts and Sciences,Class of 2019,Brookings_Quad,59
College of Arts and Sciences,Class of 2019,59,BD
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,Brown_School,59
College of Arts and Sciences,Class of 2019,Sam_Fox,59
College of Arts and Sciences,Class of 2019,Northest_Corner,59
College of Arts and Sciences,Class of 2019,South_40,60
College of Arts and Sciences,Class of 2019,60,BD
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,Village,60
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,60,Village_Dining
College of Arts and Sciences,Class of 2019,AC_Frat_Row,60
College of Arts and Sciences,Class of 2019,60,BD
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,Bauer_Law_School,60
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,DUC_Area,60
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,Bio_Psych,60
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,60,Hillman
College of Arts and Sciences,Class of 2019,60,Whispers
College of Arts and Sciences,Class of 2019,Chemistry,60
College of Arts and Sciences,Class of 2019,60,DUC
College of Arts and Sciences,Class of 2019,60,Whispers
College of Arts and Sciences,Class of 2019,Engineering_Quad,60
College of Arts and Sciences,Class of 2019,Brookings_Quad,60
College of Arts and Sciences,Class of 2019,Brown_School,60
College of Arts and Sciences,Class of 2019,Sam_Fox,60
College of Arts and Sciences,Class of 2019,Northest_Corner,60
College of Arts and Sciences,Class of 2021,South_40,61
College of Arts and Sciences,Class of 2021,61,BD
College of Arts and Sciences,Class of 2021,Village,61
College of Arts and Sciences,Class of 2021,61,Village_Dining
College of Arts and Sciences,Class of 2021,AC_Frat_Row,61
College of Arts and Sciences,Class of 2021,61,BD
College of Arts and Sciences,Class of 2021,61,DUC
College of Arts and Sciences,Class of 2021,61,Einsteins
College of Arts and Sciences,Class of 2021,Bauer_Law_School,61
College of Arts and Sciences,Class of 2021,61,BD
College of Arts and Sciences,Class of 2021,DUC_Area,61
College of Arts and Sciences,Class of 2021,61,DUC
College of Arts and Sciences,Class of 2021,61,Subway
College of Arts and Sciences,Class of 2021,Bio_Psych,61
College of Arts and Sciences,Class of 2021,Chemistry,61
College of Arts and Sciences,Class of 2021,Engineering_Quad,61
College of Arts and Sciences,Class of 2021,Brookings_Quad,61
College of Arts and Sciences,Class of 2021,Brown_School,61
College of Arts and Sciences,Class of 2021,Sam_Fox,61
College of Arts and Sciences,Class of 2021,Northest_Corner,61
College of Engineering and Applied Sciences,Class of 2019,South_40,62
College of Engineering and Applied Sciences,Class of 2019,62,BD
College of Engineering and Applied Sciences,Class of 2019,Village,62
College of Engineering and Applied Sciences,Class of 2019,62,Bauer_Hall_Cafe
College of Engineering and Applied Sciences,Class of 2019,62,Village_Dining
College of Engineering and Applied Sciences,Class of 2019,AC_Frat_Row,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,62,Village_Dining
College of Engineering and Applied Sciences,Class of 2019,Bauer_Law_School,62
College of Engineering and Applied Sciences,Class of 2019,62,Bauer_Hall_Cafe
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,DUC_Area,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,62,Whispers
College of Engineering and Applied Sciences,Class of 2019,Bio_Psych,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,62,Whispers
College of Engineering and Applied Sciences,Class of 2019,Chemistry,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,62,Whispers
